ACCE_ABSORB_COST	تكاليف الدمج: %d
CUBE_MAKE_CONFIRM_QUESTION_1	هناك بند واحد مستخدم على الأقل ذو قيمة مرتفعة (يحتوي على أكثر من %d علاوة).
CUBE_MAKE_CONFIRM_QUESTION_2	هل تريد ذلك فعلاً؟
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	ليس لديك %s، لذا لا يمكنك صقل هذا الآن.
CUBE_NOT_ENOUGH_GEM	ليس لديك مايكفي من الغايا.
CUBE_NOT_ENOUGH_GOLD	لا تمتلك ما يكفي من يانغ.
CUBE_NOT_ENOUGH_MATERIAL	لا تمتلك ما يكفي من مواد.
CUBE_PLEASE_SELECT	لم يتم اختيار أي بنود.
CUBE_SELECT_ITEM_FIRST	حدد أولاً بندا لصقله.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	الوقت المتبقي: {0} ~ {1} ساعات
CUBE_USING_ALCHEMY_INFO	تم استخدام %s لصناعة (%d قطعة)
CZ_REWARD_QUESTION_COMPLETE	هل تود تحويله؟
CZ_REWARD_TOOLTIP_10GAN	وسام زودياك
CZ_REWARD_TOOLTIP_10GAN_COUNT	العدد في قائمة الجرد
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	العدد المطلوب
CZ_REWARD_TOOLTIP_12ZI	وسام الحارس
CZ_REWARD_TOOLTIP_12ZI_COUNT	العدد في قائمة الجرد
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	العدد المطلوب
CZ_REWARD_TOOLTIP_ALL_BOX	كنز نجمي
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	انقر هنا لتحصل على الكنز النجمي كمكافئة.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	انقر هنا لتحصل على كنز افينتورين كمكافئة.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	انقر هنا لتحصل على كنز أوريُولين كمكافئة.
CZ_REWARD_TOOLTIP_COMPLETABLE	تحويل
CZ_REWARD_TOOLTIP_GREEN_BOX	كنز افينتورين
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	حصلت على: %d كنز أوريُولين
CZ_REWARD_TOOLTIP_WEEKLY	يوم
CZ_REWARD_TOOLTIP_WEEKLY_FRI	الجمعة
CZ_REWARD_TOOLTIP_WEEKLY_MON	الاثنين
CZ_REWARD_TOOLTIP_WEEKLY_SAT	السبت
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	السبت/الأحد
CZ_REWARD_TOOLTIP_WEEKLY_THU	الخميس
CZ_REWARD_TOOLTIP_WEEKLY_TUE	الثلاثاء
CZ_REWARD_TOOLTIP_WEEKLY_WED	الأربعاء
CZ_REWARD_TOOLTIP_YELLOW_BOX	كنز أوريُولين
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	حصلت على: %d كنز أوريُولين
DAY	ي
DETAILS_0	قوي ضد الماتين
DETAILS_1	قوي ضد نصف البشر
DETAILS_2	مقاومة نصف البشر
DETAILS_3	قوي ضد الغيلان
DETAILS_4	قوي ضد الزومبي
DETAILS_5	قوي ضد الوحوش
DETAILS_6	قوي ضد وحوش زودياك
DETAILS_7	قوي ضد الحيوانات
DETAILS_8	ق.ض. الطائفة السرية
DETAILS_9	قوي ضد الشيطان
DETAILS_10	قوي ضد وحوش الصحراء
DETAILS_11	قوي ضد الحشرات
DETAILS_12	قيمة الهجوم
DETAILS_13	قيمة الدفاع
DETAILS_14	معدل الضرر
DETAILS_15	مقاومة معدل الضرر
DETAILS_16	أضرار المهارة
DETAILS_17	مقاومة المهارة.
DETAILS_18	هجوم سحري/جسدي
DETAILS_19	هجوم سحري
DETAILS_20	فرصة الضربة الحرجة
DETAILS_21	ضربة خارقة
DETAILS_22	م. الضربات الحرجة
DETAILS_23	م. الضربات الخارقة
DETAILS_24	مقاومة البرق
DETAILS_25	مقاومة الثلج
DETAILS_26	مقاومة الظلام
DETAILS_27	مقاومة النار
DETAILS_28	مقاومة الرياح
DETAILS_29	مقاومة الأرض
DETAILS_30	قوة البرق
DETAILS_31	قوة الجليد
DETAILS_32	قوة الظلام
DETAILS_33	قوة النار
DETAILS_34	قوة الرياح
DETAILS_35	قوة الأرض
DETAILS_36	قوي ضد المحارب
DETAILS_37	قوي ضد النينجا
DETAILS_38	قوي ضد السورا
DETAILS_39	قوي ضد الشامان
DETAILS_40	قوي ضد الليكانر
DETAILS_41	دفاع ضد المحارب
DETAILS_42	دفاع ضد النينجا
DETAILS_43	دفاع ضد السورا
DETAILS_44	دفاع ضد الشامان
DETAILS_45	دفاع ضد الليكانر
DETAILS_46	الدفاع السيفي
DETAILS_47	دفاع سيف اليدين
DETAILS_48	دفاع خنجري
DETAILS_49	دفاع مخلبي
DETAILS_50	دفاع جرسي
DETAILS_51	دفاع مروحي
DETAILS_52	مقاومة السهم
DETAILS_53	فُرص الإغماء
DETAILS_54	فرص التبطيء
DETAILS_55	فرصة التسمم
DETAILS_56	مقاومة السموم
DETAILS_57	هجوم مُنزف
DETAILS_58	م. الهجوم المُنزف
DETAILS_59	سرقة نقاط الحياة
DETAILS_60	سرقة نقاط الأسلوب
DETAILS_61	إستعادة نقاط الحياة
DETAILS_62	إستعادة نقاط الأسلوب
DETAILS_63	صد الهجوم الجسدي
DETAILS_64	تفادي الهجوم السهمي
DETAILS_65	عكس الهجوم الجسدي
DETAILS_66	إ.ن.ح عند القتل
DETAILS_67	إ.ن.أ عند القتل
DETAILS_68	مضاعفة الخبرة EXP
DETAILS_69	مضاعفة اليانغ
DETAILS_70	فرصة الإسقاط
DETAILS_71	قيمة الهجوم
DETAILS_72	دفاع
DETAILS_73	خبرة EXP
DETAILS_74	فرصة الإسقاط
DETAILS_75	مضاعفة اليانغ
DETAILS_76	مقاومة السحر
DETAILS_77	كسر السّحر
DETAILS_78	مقاومة الوحوش
DETAILS_79	علاوة الهجوم السحري
DETAILS_ATTBONUS_BELL	كسر الجرس
DETAILS_ATTBONUS_BOW	كسر السهم
DETAILS_ATTBONUS_CLAW	كسر المخلب
DETAILS_ATTBONUS_DAGGER	كسر الخنجر
DETAILS_ATTBONUS_FAN	كسر المروحة
DETAILS_ATTBONUS_SWORD	كسر السيف
DETAILS_ATTBONUS_TWOHAND	كسر سيف اليدين
DETAILS_CATE_1	ضرر/دفاع
DETAILS_CATE_2	علاوات العناصر
DETAILS_CATE_3	علاوات الطبقات
DETAILS_CATE_4	علاوات السلاح
DETAILS_CATE_5	علاوات أخرى
DETAILS_CATE_6	علاوات خاصة
DETAILS_HIT_PCT	الدقة
DETAILS_RESIST_MOUNT_FALL	مقاومة السقوط
DETAILS_TITLE	التفاصيل
DETAILS_TOOLTIP_0	قوي ضد أحجار الماتين: يسبب ضررا اكبر على أحجار الماتين.
DETAILS_TOOLTIP_1	قوي ضد نصف البشر: تلحق ضرر أكبر بنصف البشر.
DETAILS_TOOLTIP_2	مقاومة نصف البشر: يقلل من الضرر الذي تتعرض له عند مهاجمتك من نصف البشر.
DETAILS_TOOLTIP_3	قوي ضد الغيلان: يرفع من قيمة الضر ضد الغيلان.
DETAILS_TOOLTIP_4	قوي ضد الزومبي: يرفع من قيمة الضر ضد الزومبي.
DETAILS_TOOLTIP_5	قوي ضد الوحوش: يرفع من قيمة الضر ضد الوحوش.
DETAILS_TOOLTIP_6	قوي ضد وحوش زودياك: يرفع من الضرر المتسبب ضد وحوش زودياك
DETAILS_TOOLTIP_7	قوي ضد الحيوانات: يرفع من قيمة الضر ضد الحيوانات.
DETAILS_TOOLTIP_8	قوي ضد الطائفة السرية: يرفع من قيمة الضر ضد الطائفة السرية.
DETAILS_TOOLTIP_9	قوي ضد الشيطان: يرفع من قيمة الضر ضد الشياطين.
DETAILS_TOOLTIP_10	قوي ضد وحوش الصحراء: يسبب ضررا أكبر ضد وحوش الصحراء.
DETAILS_TOOLTIP_11	قوي ضد الحشرات: يسبب ضررا أكبر ضد الحشرات
DETAILS_TOOLTIP_12	يرفع قيمة الهجوم الخاصة بك.
DETAILS_TOOLTIP_13	يرفع من قيمة الدفاع الخاصة بك.
DETAILS_TOOLTIP_14	يرفع من قيمة معدل الضرر الذي تسببه أثناء الهجوم.
DETAILS_TOOLTIP_15	مقاومة معدل الضرر: يقلل من قيمة معدل الضرر الذي تتعرض له أثناء الهجوم.
DETAILS_TOOLTIP_16	يرفع من قيمة أضرار المهارة.
DETAILS_TOOLTIP_17	مقاومة أضرار المهارة: يقلل من قيمة أضرار المهارة التي تتعرض لها عند الهجوم.
DETAILS_TOOLTIP_18	يرفع من قيمة الهجوم الجسدي والسحري.
DETAILS_TOOLTIP_19	يرفع من قيمة الضرر الذي تلحقه لخصومك عند إستخدام هجوم سحري.
DETAILS_TOOLTIP_20	يرفع من فرص تحقيق إصابة حرجة.
DETAILS_TOOLTIP_21	فرصة تحقيق ضربة خارقة: يرفع من فرص تحقيق ضربة خارقة.
DETAILS_TOOLTIP_22	مقاومة الإصابة الحرجة: يقلل من الضرر الذي تتعرض له عند تعرضك لإصابة حرجة.
DETAILS_TOOLTIP_23	مقاومة الضربة الخارقة: يقلل من الضرر الذي تتعرض له عند إصابتك بضربة خارقة.
DETAILS_TOOLTIP_24	يقلل من الضرر الذي تتسبب به وحوش معينة.
DETAILS_TOOLTIP_25	يقلل من الضرر الذي تتسبب به وحوش معينة.
DETAILS_TOOLTIP_26	مقاومة الظلام: يقلل من الضرر الذي تتسبب به وحوش معينة.
DETAILS_TOOLTIP_27	يقلل من الضرر الذي تتسبب به وحوش معينة.
DETAILS_TOOLTIP_28	يقلل من الضرر الذي تتسبب به وحوش معينة.
DETAILS_TOOLTIP_29	يقلل من الضرر الذي تتسبب به وحوش معينة.
DETAILS_TOOLTIP_30	يرفع من الضرر الذي تسببه بقوة الضوء.
DETAILS_TOOLTIP_31	يرفع من الضرر الذي تسببه بقوة الجليد.
DETAILS_TOOLTIP_32	يرفع من الضرر الذي تسببه بقوة الظلام.
DETAILS_TOOLTIP_33	يرفع من الضرر الذي تسببه بقوة النار.
DETAILS_TOOLTIP_34	يرفع من الضرر الذي تسببه بقوة الرياح.
DETAILS_TOOLTIP_35	يرفع من الضرر الذي تسببه بقوة الأرض.
DETAILS_TOOLTIP_36	قوي ضد المحارب: يرفع من قيمة الضر ضد المحاربين.
DETAILS_TOOLTIP_37	قوي ضد النينجا: يرفع من قيمة الضر ضد النينجا.
DETAILS_TOOLTIP_38	قوي ضد السورا: يرفع من قيمة الضر ضد السورا.
DETAILS_TOOLTIP_39	قوي ضد الشامان: يرفع من قيمة الضر ضد الشامان.
DETAILS_TOOLTIP_40	قوي ضد الليكانر: يرفع من قيمة الضر ضد الليكانر.
DETAILS_TOOLTIP_41	مقاومة هجمات المحارب: يقلل من الضرر الذي يسببه هجوم المحارب.
DETAILS_TOOLTIP_42	مقاومة هجمات نينجا: يقلل من الضرر الذي يسببه هجوم النينجا.
DETAILS_TOOLTIP_43	مقاومة هجمات السورا: يقلل من الضرر الذي يسببه هجوم السورا.
DETAILS_TOOLTIP_44	مقاومة هجمات الشامان: يقلل من الضرر الذي يسببه هجوم الشامان.
DETAILS_TOOLTIP_45	مقاومة هجمات الليكانر: يقلل من الضرر الذي يسببه هجوم الليكانر.
DETAILS_TOOLTIP_46	يقلل من الضرر الذي يسببه السيف.
DETAILS_TOOLTIP_47	يقلل من الضرر الذي يسببه سيف اليدين.
DETAILS_TOOLTIP_48	يقلل من الضرر الذي يسببه الخنجر.
DETAILS_TOOLTIP_49	يقلل من الضرر الذي يسببه المخلب.
DETAILS_TOOLTIP_50	يقلل من الضرر الذي يسببه الجرس.
DETAILS_TOOLTIP_51	يقلل من الضرر الذي تسببه المروحة.
DETAILS_TOOLTIP_52	يقلل من الضرر الذي يسببه القوس.
DETAILS_TOOLTIP_53	يرفع من فرص التسبب بإغماء للخصم.
DETAILS_TOOLTIP_54	يرفع من فرص التسبب بإبطاء للخصم.
DETAILS_TOOLTIP_55	يرفع من فرص التسبب بتسمم للخصم.
DETAILS_TOOLTIP_56	يقلل من الضرر الذي يسببه السم.
DETAILS_TOOLTIP_57	يرفع من فرص تحقيق هجوم مُنزف.
DETAILS_TOOLTIP_58	مقاومة الهجوم المنزف: يقلل من الضرر الذي يسببه الهجوم المنزف.
DETAILS_TOOLTIP_59	سرقة نقاط الحياة من خصمك عند قيامك بضربه.
DETAILS_TOOLTIP_60	سرقة نقاط الأسلوب من خصمك عند قيامك بضربه.
DETAILS_TOOLTIP_61	يرفع من سرعة إستعادة نقاط الحياة.
DETAILS_TOOLTIP_62	يرفع من سرعة إستعادة نقاط الأسلوب.
DETAILS_TOOLTIP_63	فرصة صَد الهجوم عن قرب: ترفع من فرصة صد الهجوم عن قرب.
DETAILS_TOOLTIP_64	فرص تفادي الهجوم بالسهام: ترفع من فرص تفادي هجوم بالسهام من الوحوش.
DETAILS_TOOLTIP_65	فرصُ عكس ضربات الهجمات عن قرب: ترفع من فرص عكس ضربات الهجمات عن قرب إلى الخصم.
DETAILS_TOOLTIP_66	إستعادة نقاط الحياة أثناء القتال: عند قيامك بقتل الخصم، فإن نقاط حياتك تزداد.
DETAILS_TOOLTIP_67	إستعادة نقاط الأسلوب أثناء القتال: عند قيامك بقتل الخصم، فإن نقاط أسلوبك تزداد.
DETAILS_TOOLTIP_68	فرصة مضاعفة الخبرة EXP: ترفع من فرصة الحصول على علاوة خبرة مضاعفة عند قيامك بقتل الخصم.
DETAILS_TOOLTIP_69	فرصة إسقاط ضعف كمية اليانغ: ترفع من فرصة الحصول على ضعف كمية اليانغ عند قيامك بقتل الخصم.
DETAILS_TOOLTIP_70	فرصة إسقاط الأدوات: ترفع من فرصة الحصول على أدوات مضاعفة عند قيامك بقتل الخصم.
DETAILS_TOOLTIP_71	يرفع قيمة الهجوم الخاصة بك.
DETAILS_TOOLTIP_72	يرفع من قيمة الدفاع الخاصة بك.
DETAILS_TOOLTIP_73	يرفع من جمع نقاط الخبرة.
DETAILS_TOOLTIP_74	فرص إسقاط الأشياء: ترفع من فرص سلب الأشياء.
DETAILS_TOOLTIP_75	فرص إسقاط اليانغ: ترفع من فرص الحصول على يانغ مضاعف.
DETAILS_TOOLTIP_76	يقلل من الضرر الذي يلحقه الخصم عند تعرضك لهجوم سحري.
DETAILS_TOOLTIP_77	يقلل من مقاومة السحر لدى خصومك.
DETAILS_TOOLTIP_78	يتم تقليل الضرر المتسبب من الوحوش.
DETAILS_TOOLTIP_79	تزيد من قيمة الهجوم السحري.
DETAILS_TOOLTIP_ATTBONUS_BELL	كسر دفاع الجرس: يقلل من الدفاع الجرسي لدى خصمك.
DETAILS_TOOLTIP_ATTBONUS_BOW	كسر دفاع السهم: يقلل من مقاومة السهام لدى خصمك
DETAILS_TOOLTIP_ATTBONUS_CLAW	كسر دفاع المخلب: يقلل من الدفاع المخلبي لدى خصمك.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	كسر دفاع الخنجر: يقلل من الدفاع الخنجري لدى خصمك.
DETAILS_TOOLTIP_ATTBONUS_FAN	كسر دفاع المروحة: يقلل من الدفاع المروحي لدى خصمك.
DETAILS_TOOLTIP_ATTBONUS_SWORD	كسر دفاع السيف: يقلل من الدفاع السيفي لدى خصمك.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	كسر دفاع سيف اليدين: يقلل من دفاع سيف اليدين لدى خصمك.
DETAILS_TOOLTIP_HIT_PCT	يرفع من فرص إصابة الخصم
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	مقاومة السقوط: تقلل من فرص سقوطك من على ظهر دابتك.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	لا يمكنك أثناء الاستفسار تحريك البنود.
DO_NOT_INSERT_UPBRINGING_PET	لا يمكن اختيار الرفيق المفعل.
DO_YOU_BUY_ITEM1	هل ترغب في شراء %s مقابل %s يانغ؟
DO_YOU_BUY_ITEM2	هل ترغب في شراء %s (%s قطعة) مقابل %s يانغ؟
DO_YOU_BUY_ITEM3	هل ترغب في شراء %s مقابل %s وون و %s يانغ؟
DO_YOU_BUY_ITEM4	هل ترغب في شراء %s (%s قسيمة) مقابل %s وون و %s يانغ؟
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	هل ترغب في شراء %s مقابل %s؟
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	هل ترغب في شراء %s (%s قطعة) مقابل %s؟
DO_YOU_DROP_MONEY	هل تريد إسقاط %d يانغ؟
DO_YOU_SELL_ITEM1	هل ترغب في بيع %s مقابل %s يانغ؟
DO_YOU_SELL_ITEM2	هل ترغب في بيع %s (%s قطعة) مقابل %s يانغ؟
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_SOUL_CANNOT_REFINE	لا يمكنك صقل حجر التنين هذا.
DRAGON_SOUL_CANNOT_REFINE_MORE	لقد وصل حجر التنين هذا أعلى مستوى يُمكن وصوله.
DRAGON_SOUL_EQUIP_WARNING1	إن حذف حجر التنين من جديد في غاية الصعوبة.
DRAGON_SOUL_EQUIP_WARNING2	هل ترغب رغم ذلك في الاستمرار؟
DRAGON_SOUL_EXPIRED	حجر تنين مُنتهي الصلاحية
DRAGON_SOUL_INVALID_DRAGON_SOUL	إنه ليس حجر التنين الحقيقي.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	إنه ليس بحجر تنين.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	إن هذا ليس هو حجر التنين الحقيقي.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	إنك لا تملك ما يكفي من المواد لتنفيذ عملية الصقل.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	من أجل %s\n ستحتاج إلى: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	أنت لا تمتلك ما يكفي من اليانغ لتحويل العلاوة.
DRAGON_SOUL_NOT_MATCHED_SLOT	إن حجر التنين لا يُناسب هذه الفتحة.
DRAGON_SOUL_SEAL_CANNOT_CHANGE_ATTR	لا يمكن تغيير البنود المرتبطة بالأرواح.
DRAGON_SOUL_SEAL_CANNOT_EQUIP	لا يمكن تجهيز حجر التنين المرتبط بالأرواح.
DRAGON_SOUL_SEAL_CANNOT_EXTRACT	لا يمكنك تطبيق هذا على أحجار التنين المربوطة بالروح.
DRAGON_SOUL_SEAL_CANNOT_REFINE	لا يمكن تحسين البنود المرتبطة بالأرواح.
DRAGON_SOUL_SEAL_CANNOT_UN_EQUIP	لا يمكن رمي حجر التنين المرتبط بالأرواح.
DRAGON_SOUL_STEP_LEVEL1	صفاء: لامس،
